doc_type,invoice_number,subledger_amount,xoro_gl_amount,diff
AR,PT-I143559,35.00,37.42,-2.42
AR,ROF ECOM-I144974,51.00,62.50,-11.50
AR,PT-I005031,3085.00,2543.60,541.40
AR,PT-I150809,36.00,46.26,-10.26
AR,ROF ECOM-I142442,50.75,64.87,-14.12
AR,ROF ECOM-I150784,33.99,43.75,-9.76
AR,ROF ECOM-I145276,12.00,12.84,-0.84
AR,ROF ECOM-I016853,57.80,64.91,-7.11
AR,ROF ECOM-I004656,18.40,29.30,-10.90
AR,PT-I151778,36.00,43.80,-7.80
AR,ROF ECOM-I013276,30.10,41.02,-10.92
AR,PT-I153412,128.00,108.80,19.20
AR,ROF ECOM-I142857,10.50,11.29,-0.79
AR,PT-I149214,133.00,106.40,26.60
AR,ROF ECOM-I011077,28.90,42.88,-13.98
AR,ROF ECOM-I142235,51.20,64.50,-13.30
AR,ROF ECOM-I151800,19.99,27.76,-7.77
AR,ROF ECOM-I006267,31.20,41.30,-10.10
AR,ROF ECOM-I145745,32.90,41.20,-8.30
AR,PT-I145952,22.80,30.19,-7.39
AR,ROF ECOM-I141274,66.40,80.93,-14.53
AR,PT-I010428,98.92,93.41,5.51
AR,ROF ECOM-I143801,134.90,130.14,4.76
AR,ROF ECOM-I151822,65.98,76.19,-10.21
AR,ROF ECOM-I016830,31.90,41.92,-10.02
AR,ROF ECOM-I008518,54.00,64.42,-10.42
AR,ROF ECOM-I144362,24.20,32.45,-8.25
AR,ROF ECOM-I005043,51.00,46.15,4.85
AR,ROF ECOM-I142029,60.30,75.77,-15.47
AR,ROF ECOM-I147975,28.35,37.01,-8.66
AR,ROF ECOM-I142800,23.40,33.73,-10.33
AR,PT-I005908,96.42,68.94,27.48
AR,ROF ECOM-I013588,30.10,42.20,-12.10
AR,PT-I148204,52.50,60.58,-8.08
AR,PT-I153948,36.00,39.99,-3.99
AR,PT-I150086,56.00,59.09,-3.09
AR,ROF ECOM-I148754,32.90,41.14,-8.24
AR,ROF ECOM-I150438,29.99,39.75,-9.76
AR,PT-I151701,36.00,40.20,-4.20
AR,ROF ECOM-I005880,53.40,63.38,-9.98
AR,ROF-I154110,94.00,166.05,-72.05
AR,PT-I146224,58.50,58.38,0.12
AR,ROF ECOM-I005303,18.00,23.55,-5.55
AR,ROF ECOM-I008176,126.90,111.29,15.61
AR,ROF ECOM-I005349,40.80,49.28,-8.48
AR,ROF ECOM-I144072,41.60,55.07,-13.47
AR,PT-I144934,61.50,63.92,-2.42
AR,ROF ECOM-I142787,94.00,107.92,-13.92
AR,ROF ECOM-I141373,33.20,43.76,-10.56
AR,ROF ECOM-I146083,40.00,50.65,-10.65
AR,PT-I148803,25.90,34.44,-8.54
AR,PT-I148608,36.00,42.01,-6.01
AR,PT-I015950,51.00,60.23,-9.23
AR,ROF ECOM-I004667,31.60,42.55,-10.95
AR,ROF ECOM-I004782,13.40,21.05,-7.65
